Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
PERMOHONAN MELAKSANAKAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI BEKALAN DAN PERKHIDMATAN SEMPENA PENGANJURAN 36TH GENERAL ASSEMBLY OF THE ASEAN INTER-PARLIAMENTARY ASSEMBLY (AIPA) DI KUALA LUMPUR PADA 6 HINGGA 12 SEPTEMBER 2015.,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,PARLIMEN MALAYSIA,"K.L AIRPORT HOTEL SDN. BHD.,                                        IR-SAF HOLIDAY & EXPRESS SDN. BHD., ES&S MSC SDN. BHD., MYKRIS ASIA SDN. BHD., IKON INTERACTIVE SDN. BHD.,                          TURBINE TECHNIQUE (M) SDN. BHD.,                       INNO ART,                   OXDEC SEVEN (M) SDN. BHD.,                       HUZAIHAS ENTERPRISE,  SYARIKAT PEMASARAN KARYANEKA SDN. BHD., MSR RESOURCES SDN. BHD.,                   TROPICANA GOLF & COUNTRY RESORT BERHAD,          TRANSVIEW GOLF SDN. BHD.,                      UNIVERSITI KEBANGSAAN MALAYSIA",2017995.24,MENDESAK,06/08/2015
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN FRAKSINASI PLASMA (17 MEI 2016 - 16 MEI 2019),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,PUSAT DARAH NEGARA,CSL BEHRING (AUSTRALIA) PTY LTD,134906136.75,MENDESAK,06/08/2015
PERMOHONAN UNTUK MELAKSANAKAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENAMBAHBAIKAN PELAKSANAAN SISTEM SOKONGAN GOODS & SERVICES TAX (GST) BAGI TAHUN 2015,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",SURUHANJAYA KOPERASI MALAYSIA (SKM),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,121900.00,"MENDESAK,            SATU PUNCA (PERKHIDMATAN)",31/07/2015
PERMOHONAN BAGI PEROLEHAN SECARA RUNDINGAN TERUS PERKHIDMATAN PENYEDIAAN KERUSI TERES PENONTON (GRANDSTAND) BAGI ACARA PERBARISAN DAN PERARAKAN SEMPENA HARI KEBANGSAAN 2015 BAGI TEMPOH SIAP SELAMA SEMBILAN  HARI,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,BAHAGIAN ISTIADAT DAN URUS SETIA PERSIDANGAN ANTARABANGSA,KEB PROJECTS SDN. BHD.,336020.00,MENDESAK,24/07/2015
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS PERKHIDMATAN PERUBATAN SWASTA BAGI TUJUAN PENGHANTARAN PESAKIT JANTUNG KANAK-KANAK MENJALANI PAEDIATRIC CARDOITHORASIC PROGRAMME DI NARAYANA HRUDAYALAYA PVT. LTD., BANGALORE, INDIA (1 JANUARI 2016 -31 DISEMBER 2017)",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,KEMENTERIAN KESIHATAN MALAYSIA,MEDIASSIST4U SDN. BHD.,3847500.00,MENDESAK,14/07/2015
KELULUSAN KHAS BAGI PERKHIDMATAN PEMBAHARUAN LESEN DAN PENYELENGGARAAN TAHUNAN SISTEM KEWANGAN SAGA DI LEMBAGA PERINDUSTRIAN NANAS MALAYSIA MULAI 1 APRIL 2015 HINGGA 31 MAC 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,LEMBAGA PERINDUSTRIAN NANAS MALAYSIA (LPNM),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,485500.00,PENYERAGAMAN,12/07/2015
PERMOHONAN BAGI MELANTIK SYARIKAT MAJORY SDN. BHD. SECARA RUNDINGAN TERUS UNTUK MELAKSANAKAN KURSUS ENGLISH LANGUAGE SKILLS FOR BUSINESS COMMUNICATION PADA SEPTEMBER HINGGA NOVEMBER 2015 DAN JANUARI HINGGA MAC 2016,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,TIADA AGENSI,MAJORY SDN BHD,63000.00,SATU PUNCA (PERKHIDMATAN),09/07/2015
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PENGANJURAN PROGRAM 30 MINIT BERSAMA USTAZ DON PERINGKAT WILAYAH PERSEKUTUAN KUALA LUMPUR, PUTRAJAYA DAN LABUAN",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN WILAYAH PERSEKUTUAN,TIADA AGENSI,AL HIJRAH MEDIA CORPORATION,142000.00,SATU PUNCA (PERKHIDMATAN),06/07/2015
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS UNTUK MEMBEKALKAN KOMPONEN DARJAH KEBESARAN, BINTANG DAN PINGAT WILAYAH PERSEKUTUAN BERMULA DARI TAHUN 2015 HINGGA 2017",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN WILAYAH PERSEKUTUAN,TIADA AGENSI,MARIWASA KRAFTANGAN SDN BHD,907000.00,"SATU PUNCA (BEKALAN), PENYERAGAMAN",06/07/2015
PERMOHONAN KELULUSAN KHAS BAGI MENGADAKAN RUNDINGAN TERUS BAGI KHIDMAT NASIHAT AKREDITASI MS ISO 15189:2012 DI LEMBAGA PENDUDUK DAN PEMBANGUNAN KELUARGA NEGARA (12 BULAN)),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PEMBANGUNAN WANITA, KELUARGA DAN MASYARAKAT",LEMBAGA PENDUDUK DAN PEMBANGUNAN KELUARGA NEGARA (LPPKN),SIRIM TRAINING SERVICES SDN. BHD.,71868.00,KEPAKARAN,29/06/2015
"PERMOHONAN RUNDINGAN TERUS PROJEK PEMBINAAN TANGKI AIR DAN PEMASANGAN PAIP RETIKULASI UNTUK PEMBANGUNAN PERUMAHAN DAN INFRASTRUKTUR DI PLOT A BAGI PENDUDUK YANG TERLIBAT DENGAN PEMBANGUNAN HUB INDUSTRI MINYAK DAN GAS DI PENGERANG, KOTA TINGGI, JOHOR BAGI TEMPOH 18 BULAN",KERJA,KEMENTERIAN KEMAJUAN LUAR BANDAR DAN WILAYAH,LEMBAGA KEMAJUAN JOHOR TENGGARA (KEJORA),RANHILL WATER SERVICES SDN. BHD.,16978831.43,Kepakaran,10/04/2013
PELANTIKAN MALAYSIAN WATER ACADEMY (MYWA) MELALUI RUNDINGAN TERUS SEBAGAI AGENSI PELAKSANA PERSIDANGAN PEMBETUNGAN 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN TENAGA, TEKNOLOGI HIJAU DAN AIR",JABATAN PERKHIDMATAN PEMBENTUNGAN,MALAYSIA WATER ACADEMY,254900.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),03/04/2013
"PERMOHONAN BAGI MEWUJUDKAN KONTRAK PENYIMPANAN (STOCKPILE) PEMBEKALAN DAN PENGHANTARAN VAKSIN SMALLPOX (IMVAMUNE) UNTUK KEGUNAAN PERKHIDMATAN KESIHATAN ANGKATAN TENTERA, KEMENTERIAN PERTAHANAN MALAYSIA SECARA RUNDINGAN TERUS DENGAN SYARIKAT BAVARIAN NORDIC A/S BAGI TEMPOH LIMA (5) TAHUN BERMULA TAHUN 2013 HINGGA 2018",BEKALAN,KEMENTERIAN PERTAHANAN,,BAVARIAN NORDIC A/S,11713768.50,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),03/04/2013
"PERMOHONAN KELULUSAN UNTUK PEROLEHAN SECARA RUNDINGAN TERUS BAGI MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJITERIMA DAN MENTAULIAH PENINGKATAN, PERLUASAN SERTA PENYELENGGARAAN SISTEM PEMBERITAHUAN SECARA SUKARELA HAK CIPTA TERMASUK APLIKASI DAN PERKAKASAN SEDIA ADA DAN BARU",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",PERBADANAN HARTA INTELEK MALAYSIA,3F RESOURCES SDN. BHD.,1910263.00,"Keperluan Mendesak, Penyeragaman",02/04/2013
MEMOHON KELULUSAN KHAS PENGECUALIAN SEBUTHARGA BAGI MENGADAKAN MAJLIS KONVOKESYEN IKBN KALI KE-9 TAHUN 2013 DI PUSAT KONVENSYEN ANTARABANGSA PUTRAJAYA PADA 6 HINGGA 7 MEI 2013(PEROLEHAN ONE OFF),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN BELIA DAN SUKAN,BAHAGIAN PEMBANGUNAN KEMAHIRAN,PUSAT KONVENSYEN ANTARABANGSA PUTRAJAYA,99435.00,Keperluan Mendesak,28/03/2013
PERMOHONAN PEROLEHAN PERISIAN INTEGRATED DATA EXTRACTION AND AUDITING (IDEA) DAN LATIHAN BERKAITAN BAGI PELAKSANAAN FOKUS AUDIT FAIL PERNIAGAAN DAN SYARIKAT SECARA RUNDINGAN TERUS DENGAN SYARIKAT BUSINESSWARE SOLUTIONS PTE. LTD.,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),"BUSINESSWARE SOLUTIONS PTE. LTD.,",567931.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),28/03/2013
"PERMOHONAN KELULUSAN UNTUK MELANTIK SYARIKAT-SYARIKAT PENGENDALI LATIHAN BAGI MENJALANKAN PROGRAM-PROGRAM LATIHAN DI AKADEMI KEPIMPINAN PENGAJIAN TINGGI (AKEPT), TAHUN 2013 SECARA RUNDINGAN TERUS",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,AKADEMI KEPIMPINAN PENDIDIKAN TINGGI (AKEPT),"KIRKBY INTERNATIONAL COLLEGE SDN. BHD., PEOPLE SYNERGY SDN. BHD., JUDGE BUSINESS SCHOOL, UNIVERSITY OF CAMBRIDGE, LEADERSHIP FOUNDATION FOR HIGHER EDUCATION, CHARLES RIVER CENTRE SDN. BHD., UPM EDUCATION & TRAINING SDN. BHD., DC TRAINING MALAYSIA SDN. BHD.",1195909.07,Kepakaran,27/03/2013
PERMOHONAN PELANJUTAN PEROLEHAN SECARA RUNDINGAN TERUS PEMBELIAN RUANG MEDIA DENGAN THE NEW STRAITS TIMES PRESS (M) BERHAD BAGI TEMPOH 1 JANUARI 2013 HINGGA 31 DISEMBER 2013,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,THE NEW STRAITS TIMES PROPERTIES SDN BHD,2390000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),26/03/2013
"PERMOHONAN KELULUSAN KHAS BAGI PEROLEHAN PERKHIDMATAN PROMOSI DAN PUBLISITI DARIPADA BERITA NASIONAL MALAYSIA (BERNAMA) BAGI KEMPEN PROMOSI SKILLSMALAYSIA, JABATAN PEMBANGUNAN KEMAHIRAN SECARA RUNDINGAN TERUS",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,JABATAN PEMBANGUNAN KEMAHIRAN,PERTUBUHAN BERITA NASIONAL MALAYSIA,140000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),25/03/2013
PERMOHONAN PELANTIKAN STRATSEC.NET SDN. BHD. SECARA RUNDINGAN TERUS BAGI PENYEDIAAN PERKHIDMATAN PENILAIAN DAN PENSIJILAN PRODUK KESELAMATAN MAKLUMAT BERDASARKAN ISO/IEC 15408 (COMMON CRITERIA),PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",MALAYSIAN CYBER SECURITY AGENCY,STRATSEC.NET SDN BHD,784400.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),25/03/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS STANDARD THGA GRAPHITE TUBES WITH END CAPS UNTUK MAKMAL PENCEMARAN INDUSTRI & PERSEKITARAN MAKANAN DAN MAKMAL LOGAM BERAT (1 JANUARI 2016 - 31 DISEMBER 2017),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,MAKMAL KESIHATAN AWAM KEBANGSAAN,PERKIN ELMER SDN. BHD.,94400.00,"SATU PUNCA (BEKALAN),            SATU PUNCA (PERKHIDMATAN),
PENYERAGAMAN",18/06/2015
PERMOHONAN KELULUSAN SECARA RUNDINGAN TERUS UNTUK PEMBELIAN LESEN/EJEN MIDDLEWARE/SISTEM PAYMATE DAN PENYELENGGARAAN SERTA PENAMBAHBAIKAN TERHADAPNYA DI KWSP SELAMA DUA (2) TAHUN MULAI OGOS 2015 HINGGA OGOS 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),CYBER BUSINESS SOLUTIONS SDN. BHD.,236280.00,"PENYERAGAMAN,
KEPAKARAN",10/06/2015
"PERMOHONAN KELULUSAN SECARA RUNDINGAN TERUS REAGEN SUPERSCRIPT III PLATINUM ONE STEP QRT - PCR (0NVITROGEN, USA) UNTUK KEGUNAAN UNIT MOLEKUL SEKSYEN VIROLOGI (10 SEPTEMBER 2015 - 9 SEPTEMBER 2017)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,MAKMAL KESIHATAN AWAM KEBANGSAAN,BIO-DIAGNOSTICS SDN BHD,1260000.00,"MENDESAK,
PENYERAGAMAN",28/05/2015
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI REAGEN UJIAN ISOLASI KULTUR DAN SENSITIVITI MYCOBACTERIUM TUBERCULOSIS MENGGUNAKAN BACTEC MGIT UNTUK KEGUNAAN MAKMAL RUJUKAN TB KEBANGSAAN, BAHAGIAN PENYAKIT (4 JANUARI 2016 - 3 JANUARI 2019)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,MAKMAL KESIHATAN AWAM KEBANGSAAN,BMS DIAGNOSTICS (M) SDN. BHD.,2738359.05,"SATU PUNCA (BEKALAN),             SATU PUNCA (PERKHIDMATAN)",27/05/2015
"PERMOHONAN RUNDINGAN TERUS BAGI MEMBEKAL DAN MENGHANTAR BAHAN GUNA HABIS DNA ANALYZER 3730XL KE PUSAT PENYELIDIKAN BIOTEKNOLOGI DAN NANOTEKNOLOGI, IBU PEJABAT MARDI, SERDANG MULAI 7 SEPTEMBER 2015 HINGGA 5 OKTOBER 2015",BEKALAN,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,INSTITUT PENYELIDIKAN DAN KEMAJUAN PERTANIAN MALAYSIA (MARDI),ANALISA RESOURCES (M) SDN. BHD.,939874.00,SATU PUNCA (BEKALAN),22/05/2015
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEMBEKALAN REAGEN GENOTYPE MTBDRPLUS DAN GENOTYPE MYCOBACTERIUM TUBERCULOSIS SPECIES UNTUK KEGUNAAN SEKSYEN TIBI & KUSTA (10 SEPTEMBER 2015 - 9 SEPTEMBER 2017),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,MAKMAL KESIHATAN AWAM KEBANGSAAN,BIO-FOCUS SAINTIFIK SDN. BHD.,676000.00,"SATU PUNCA (BEKALAN),             SATU PUNCA (PERKHIDMATAN)",21/05/2015
PERMOHONAN KELULUSAN KUMPULAN WANG SIMPANAN PEKERJA (KWSP) BAGI CADANGAN PELANTIKAN SYARIKAT EPROTEA MSC SDN. BHD. SECARA RUNDINGAN TERUS BAGI PELAKSANAAN NEW RENTAS SYSTEM (BERDASARKAN ARAHAN BANK NEGARA MALAYSIA) DENGAN TEMPOH SIAP SEHINGGA 31 OKTOBER 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),EPROTEA MSC SDN. BHD.,103925.00,SATU PUNCA (PERKHIDMATAN),12/05/2015
PERMOHONAN UNTUK MELAKSANAKAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYELENGGARAAN SISTEM PERAKAUNAN STANDARD ACCOUNTING SYSTEM FOR GOVERNMENT AGENCIES (SAGA) SURUHANJAYA KOPERASI MALAYSIA (SKM) MULAI 1 JANUARI 2015 HINGGA 31 DISEMBER 2017,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",SURUHANJAYA KOPERASI MALAYSIA (SKM),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,1154988.00,"MENDESAK,           SATU PUNCA (PERKHIDMATAN), PENYERAGAMAN",12/05/2015
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PROJEK PENAMBAHBAIKAN SISTEM BAHAGIAN AUDIT KOPERASI SURUHANJAYA KOPERASI MALAYSIA TAHUN 2015 BAGI TEMPOH SATU TAHUN MULAI 6 OGOS 2015 HINGGA 5 OGOS 2016,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",TIADA AGENSI,TULINO MANAGEMENT SOLUTIONS SDN. BHD.,264150.00,"MENDESAK,
PENYERAGAMAN,
BUMIPUTERA (PEMBUAT),
KEPAKARAN",12/05/2015
PERMOHONAN KELULUSAN BAGI RUNDINGAN TERUS PENAMBAHBAIKAN SISTEM ELECTRONIC AUDIT RATING SYSTEM (EARAS)JABATAN AUDIT NEGARA TEMPOH DUA  TAHUN MULAI 14 JULAI 2015 SEHINGGA 13 JULAI 2017,PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN AUDIT NEGARA,KOMETSOFT (M) SDN. BHD.,128631.00,PENYERAGAMAN,11/05/2015
PERMOHONAN TAMBAHAN NILAI BAGI PERJANJIAN PERKHIDMATAN PENYENGGARAAN GOVERNMENT FINANCIAL MANAGEMENT ACCOUNTING SYSTEM (GFMAS),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,TELITI COMPUTERS SDN. BHD.,200000.00,Penyeragaman,22/03/2013
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN SEWAAN PERALATAN TEKNIKAL, PAKEJ MESYUARAT DAN PENGINAPAN DENGAN THR HOTEL (KL) SDN. BHD. BAGI PENGANJURAN MESYUARAT KE-40 ASEAN CONSULTATIVE COMMITTEE FOR STANDARDS AND QUALITY (ACCSQ) DAN INDUSTRY BREAKFAST FORUM WITH LEADERS OF ISO AND IEC",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",JABATAN STANDARD MALAYSIA,THR HOTEL (KL) SDN. BHD.,129050.80,Keperluan Mendesak,20/03/2013
"PROJEK MENAIK TARAF TERMINAL PENUMPANG DAN JETI, PEMBINAAN BANGUNAN CIQ DAN JETI BARU DI JETI KUAH, LANGKAWI, KEDAH",KERJA,KEMENTERIAN KERJA RAYA,JABATAN KERJA RAYA MALAYSIA (JKR),UZAIMIN ENTERPRISE (ALOR SETAR) SDN. BHD.,86500000.00,Keperluan Mendesak,20/03/2013
"MEMOHON KELULUSAN KHAS PERBENDAHARAAN UNTUK MELANTIK STORY CIRCLE SEBAGAI SYARIKAT PENGENDALI LATIHAN BAGI PROGRAM BAREFOOT LEADERSHIP CIRCLE DENGAN ANGGARAN KOS RM285,000.00",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,,STORY CIRCLE,255000.00,Kepakaran,14/03/2013
"KERJA-KERJA MENGOPERASI DAN MENELENGGARA LOJI INSINERATOR PULAU LANGKAWI,KEDAH",KERJA,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PENGURUSAN SISA PEPEJAL NEGARA,XCN TECHNOLOGY SDN BHD,7441607.00,Penyeragaman,14/03/2013
PERMOHONAN KELULUSAN RUNDINGAN TERUS BAGI CADANGAN PERKHIDMATAN PENYELENGGARAAN DAN PEMBAIKAN SECARA KOMPREHENSIF LIF-LIF PENUMPANG JENAMA EITA DAN TOSHIBA DI UITM CAWANGAN PULAU PINANG UNTUK TEMPOH TIGA (3) TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,,"EITA ELEVATOR (MALAYSIA) SDN. BHD., MS ELEVATORS ENGINEERING SDN. BHD.",200880.00,Keperluan Mendesak,07/03/2013
PERMOHONAN PELANJUTAN KONTRAK BAGI PELAKSANAAN DAN PERLUASAN PROJEK MALAYSIA EMERGENCY RESPONSE SERVICES 999 (MERS 999) UNTUK TAHUN 2013 HINGGA 2014 DENGAN TELEKOM MALAYSIA BHD (TM),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,TELEKOM MALAYSIA BERHAD,233000000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",06/03/2013
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PENYELENGGARAAN SISTEM ILMU, PUSAT SUMBER KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI (MITI)",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,,PARADIGM SYSTEMS BERHAD,75000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",06/03/2013
PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS UNTUK MENDAPATKAN PERKHIDMATAN MENJALANKAN KURSUS BERIMPAK TINGGI DALAM MELAKSANAKAN DASAR TRANSFORMASI PENDIDIKAN VOKASIONAL 2013 OLEH RANACO MARINE SDN. BHD. DAN KRU ACADEMY SDN. BHD. BAGI PROJEK USAHA SAMA SEKTOR AWAM SWASTA KEPADA KPM BAGI TEMPOH TUJUH (7) TAHUN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PENDIDIKAN TEKNIK DAN VOKASIONAL,"KRU ACADEMY SDN. BHD. (KEPAKARAN : MULTIMEDIA-ANIMATOR), RANACO MARINE SDN. BHD. (KEPAKARAN : LATIHAN MARITIM)",62366400.00,Kepakaran,28/02/2013
PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYEWAAN AMBULAN LAUT HOSPITAL LANGKAWI DENGAN SYARIKAT JMV TRADETECH SDN. BHD. UNTUK TEMPOH TIGA (3) TAHUN DAN OPSYEN PELANJUTAN DUA (2) TAHUN,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KESIHATAN,,JMV TRADETECH SDN. BHD.,4680000.00,Keperluan Mendesak,28/02/2013
PERMOHONAN KELULUSAN KHAS KEMENTERIAN KEWANGAN MELALUI PEGAWAI PENGAWAL BAGI PEROLEHAN SECARA RUNDINGAN TERUS PERKHIDMATAN MEMBEKAL DAN MENGHANTAR MAKANAN BERMASAK UNTUK TAHANAN DI PUSAT TAHANAN SEMENTARA (PTS) DI KOTA KINABALU BAGI MAJLIS KESELAMATAN NEGARA UNTUK TEMPOH SELAMA ENAM  BULAN MULAI 19 JUN 2015 SEHINGGA 19 DISEMBER 2015.,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,MAJLIS KESELAMATAN NEGARA (MKN),AMIN JAYA ENTERPRISE,2442240.00,MENDESAK,11/05/2015
PERMOHONAN KELULUSAN PELANTIKAN RUNDINGAN TERUS BAGI TUJUAN SEWAAN DEWAN UNTUK JUALAN TERUS DARI KILANG MULAI 3 JUN 2015 HINGGA 8 JUN 2015,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PERDAGANGAN DALAM NEGERI, KOPERASI DAN KEPENGGUNAAN",TIADA AGENSI,MELAKA INTERNATIONAL TRADE CENTRE SDN. BHD.,140804.04,SATU PUNCA (PERKHIDMATAN),21/04/2015
"PROGRAM PENEMPATAN SEMENTARA MANGSA BANJIR DI 200 UNIT PPRM GUA MUSANG OLEH KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT)                     
I) PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEROLEHAN MEMBEKAL DAN MEMASANG 200 BUAH KATIL DAN TILAM SAIZ QUEEN SERTA 400 BUAH KATIL DAN TILAM SAIZ BUJANG; DAN  
II) PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEROLEHAN MEMBEKAL, MEMASANG, MENGUJI DAN MENTAULIAH 2,000 UNIT LAMPU DAN 800 UNIT KIPAS",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",JABATAN PERUMAHAN NEGARA,"KABIMAS MANUFACTURING SDN. BHD.,                 MULTIMEDIA COMMUNICATION",511000.00,"MENDESAK, BUMIPUTERA (PEMBUAT), KEPAKARAN",14/04/2015
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PEMBANGUNAN DAN PELAKSANAAN PORTAL ORANG-E BAHAGIAN KESEJAHTERAAN BANDAR (BKS), KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN (KPKT) BAGI TEMPOH 30 BULAN",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN KESEJAHTERAAN BANDAR, PERUMAHAN DAN KERAJAAN TEMPATAN",TIADA AGENSI,JRJ MANAGEMENT CONSULTANTS SDN. BHD.,4173750.00,MENDESAK,26/03/2015
PERMOHONAN KELULUSAN KHAS PERBENDAHARAAN BAGI PEROLEHAN RUNDINGAN TERUS PERKHIDMATAN PENYELENGGARAAN SISTEM ACCOUNTING FOR GOVERNMENT AGENCIES DI LEMBAGA PENDUDUK DAN PEMBANGUNAN KELUARGA NEGARA (LPPKN) BAGI TEMPOH DUA TAHUN MULAI 1 JANUARI 2015 SEHINGGA 31 DISEMBER 2016,PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN PEMBANGUNAN WANITA, KELUARGA DAN MASYARAKAT",LEMBAGA PENDUDUK DAN PEMBANGUNAN KELUARGA NEGARA (LPPKN),CENTURY SOFTWARE (MALAYSIA) SDN. BHD.,430220.00,"MENDESAK, PENYERAGAMAN",26/03/2015
